  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         515         515   1.94174761E-03   1.94174761E-03   1.79999995       9.99999997E-07   50.0000000       1.00000005E-03   1000.00000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
  0.140000105       8.56816769E-07   2.08616257E-07   9.98377800E-07
  0.141000107       8.56816769E-07   2.68220901E-07   9.90927219E-07
  0.142000109       8.49366188E-07   1.78813934E-07   9.90927219E-07
  0.143000111       8.49366188E-07   1.49011612E-07   9.90927219E-07
  0.144000113       8.64267349E-07   2.38418579E-07   9.99837766E-07
  0.145000115       8.56816769E-07   2.38418579E-07   9.99300028E-07
  0.146000117       8.56816769E-07   2.08616257E-07   9.99418262E-07
  0.147000119       8.64267349E-07   1.78813934E-07   9.99922122E-07
  0.148000121       8.49366188E-07   2.38418579E-07   9.99116310E-07
  0.149000123       8.56816769E-07   1.78813934E-07   9.99076292E-07
  0.150000125       8.56816769E-07   1.78813934E-07   9.99774784E-07
  0.151000127       8.49366188E-07   2.38418579E-07   9.97446477E-07
  0.152000129       8.56816769E-07   2.08616257E-07   9.99309123E-07
  0.153000131       8.49366188E-07   2.68220901E-07   9.99309123E-07
  0.154000133       8.49366188E-07   2.38418579E-07   9.98377800E-07
  0.155000135       8.49366188E-07   2.68220901E-07   9.98377800E-07
  0.156000137       8.64267349E-07   2.38418579E-07   9.98377800E-07
  0.157000139       8.56816769E-07   2.08616257E-07   9.98377800E-07
  0.158000141       8.56816769E-07   2.08616257E-07   9.98377800E-07
  0.159000143       8.56816769E-07   1.78813934E-07   9.98377800E-07
  0.160000145       8.56816769E-07   2.68220901E-07   9.98377800E-07
  0.161000147       8.56816769E-07   2.38418579E-07   9.98377800E-07
  0.162000149       8.56816769E-07   1.49011612E-07   9.98377800E-07
  0.163000152       8.56816769E-07   2.38418579E-07   9.98377800E-07
  0.164000154       8.41915607E-07   2.08616257E-07   9.98377800E-07
  0.165000156       8.49366188E-07   2.38418579E-07   9.98377800E-07
  0.166000158       8.56816769E-07   2.68220901E-07   9.90927219E-07
  0.167000160       8.56816769E-07   2.08616257E-07   9.90927219E-07
  0.168000162       8.49366188E-07   2.68220901E-07   9.90927219E-07
  0.169000164       8.49366188E-07   2.38418579E-07   9.90927219E-07
